path,frozen_commit,git_blob_sha,canonical_byte_length,canonical_sha256,current_lovable_sha256,remediation_required,reason,generated_file_exception
.env,7684ea9f02a1a1e1a25f29845ebf831d63163a31,6c7707844802b4f95f7265b0bcd229f221699025,685,8df559ffd28a76815971b2f414bdcdf7f3b35dc3eb836414d420d198a6b8d2e4,8580c67766cc9542e4598794f7d7c9dfbe70bf147eaea9650b61ff9acba6383a,yes,"CRLF line-ending conversion introduced upstream during SB-P-1.11-LOV-SYNC-2 Phase 2/3 artifact preparation (core.autocrlf=true, no .gitattributes override); content values unchanged, only line-ending bytes differ.",no
.env.test,7684ea9f02a1a1e1a25f29845ebf831d63163a31,aa358b83c2acdbc987a1c25eac090ae684dbe22b,850,c272bd2404df690e6d007c6382dfe1501a19a7f8a3bc16f9a4af044c9f12f72e,9cee7927b43f8531ff156f6d5517601b822f21714a3201a2eb97bc250a7b3de9,yes,"CRLF line-ending conversion introduced upstream during SB-P-1.11-LOV-SYNC-2 Phase 2/3 artifact preparation (core.autocrlf=true, no .gitattributes override); content values unchanged, only line-ending bytes differ.",no
.env.test.local.example,7684ea9f02a1a1e1a25f29845ebf831d63163a31,4d26734b250a54fcb186f35d7c65916e9effa5fa,779,9c6a7f5e4cc62cf263821d40774038d4c306508c793b8939bcd2ffa8b25f90ae,a57f81c29d0d3e3516f96dc2cc13341e937d4d9cfcf6d28fa35fdfea2142506e,yes,"CRLF line-ending conversion introduced upstream during SB-P-1.11-LOV-SYNC-2 Phase 2/3 artifact preparation (core.autocrlf=true, no .gitattributes override); content values unchanged, only line-ending bytes differ.",no
bun.lock,7684ea9f02a1a1e1a25f29845ebf831d63163a31,b3524efe723a9bda5ed5972e2e7819dd2c6b0b4a,184860,f56d64ea53e969e671bbc46e62a6028eeea54bfe3c854f8b11376974a3af50ea,ed95efaac45968666eed812b588d64fd7c5c2a23b5d2dd14b3396b8a43764ae7,yes,"CRLF line-ending conversion introduced upstream during SB-P-1.11-LOV-SYNC-2 Phase 2/3 artifact preparation (core.autocrlf=true, no .gitattributes override); content values unchanged, only line-ending bytes differ.",no
bunfig.toml,7684ea9f02a1a1e1a25f29845ebf831d63163a31,404c27d65cbde9ae5f365d179ed0e16a0473f8c5,386,2606e248dd6fc7c17f87a50f5e2c55120560ca858cd0007c0419704296f25f5a,239560b0153b165e0af29cb37aac6ee093b2868c5241a501d8edce610d733970,yes,"CRLF line-ending conversion introduced upstream during SB-P-1.11-LOV-SYNC-2 Phase 2/3 artifact preparation (core.autocrlf=true, no .gitattributes override); content values unchanged, only line-ending bytes differ.",no
components.json,7684ea9f02a1a1e1a25f29845ebf831d63163a31,f0817a84e832a693e7a79a911efe0b081bd97e06,443,37c484818824d2521eee3367e7aa2c2abbd19635d8103d19734b6e24603d0292,4587d143275ee744003e8f9814dcc735c7fb8c56ea198db773fe2c27fdfcb53d,yes,"CRLF line-ending conversion introduced upstream during SB-P-1.11-LOV-SYNC-2 Phase 2/3 artifact preparation (core.autocrlf=true, no .gitattributes override); content values unchanged, only line-ending bytes differ.",no
eslint.config.js,7684ea9f02a1a1e1a25f29845ebf831d63163a31,be4075bd5e14ae3e6420613f789c3fc8bbeda819,1250,3266245a1ff610a0b37dbb8b8c77b93a125e0d8758b9838cfd04b2e0a1397d56,8dc219908ac50e457ad084979ce5396fe288343a856f6b6be9f56d175baf4825,yes,"CRLF line-ending conversion introduced upstream during SB-P-1.11-LOV-SYNC-2 Phase 2/3 artifact preparation (core.autocrlf=true, no .gitattributes override); content values unchanged, only line-ending bytes differ.",no
package.json,7684ea9f02a1a1e1a25f29845ebf831d63163a31,942cc1f8117257a5dee55e36dbb0cfbdd625e7dd,3145,c2d2e60aa8db2335d9c725dfb118d6d96b9205113cc73d4c97aff84bd313ae3d,c4d5cb258ba9e1db34f12a5fc548c425c87966046e013ffa801d4a46b72f61ec,yes,"CRLF line-ending conversion introduced upstream during SB-P-1.11-LOV-SYNC-2 Phase 2/3 artifact preparation (core.autocrlf=true, no .gitattributes override); content values unchanged, only line-ending bytes differ.",no
public/favicon.ico,7684ea9f02a1a1e1a25f29845ebf831d63163a31,3c01d69713f9c184e92b74f5799e6dff2f500825,20373,dd821076a9b03adc2173c93956226aea3d92482d7578fc4339c5d3a2e9c24586,dd821076a9b03adc2173c93956226aea3d92482d7578fc4339c5d3a2e9c24586,no,Already canonical-equivalent (unaffected by the CRLF conversion defect: binary file or single-line file with no embedded newline).,no
src/components/authed-header.tsx,7684ea9f02a1a1e1a25f29845ebf831d63163a31,47e4222b0be467cdff7e1c0bdff19aa771049116,5468,984b19b1f831745fe29b0f1004f7a71a879563bd6a400ff47a8daf700d57af1d,7c9736ae123866e51dc80ffd790992db1941f027c47d1fd2d4a5a46dd35b00ea,yes,"CRLF line-ending conversion introduced upstream during SB-P-1.11-LOV-SYNC-2 Phase 2/3 artifact preparation (core.autocrlf=true, no .gitattributes override); content values unchanged, only line-ending bytes differ.",no
src/components/page-primitives.tsx,7684ea9f02a1a1e1a25f29845ebf831d63163a31,e5637daa698d6a87ae37d25ab0cf6cbfa986fb5f,1327,9fe2fa5261ba63c81f833f3dd32411469e75025f962ae23cb297c5d520410e03,4742386154a7c28a8208fabeea236d89686df3d96741420245cfe1a1412054e8,yes,"CRLF line-ending conversion introduced upstream during SB-P-1.11-LOV-SYNC-2 Phase 2/3 artifact preparation (core.autocrlf=true, no .gitattributes override); content values unchanged, only line-ending bytes differ.",no
src/components/site-layout.tsx,7684ea9f02a1a1e1a25f29845ebf831d63163a31,88541a11119bd9d8032c33b26faf27ee91ee1a09,8177,d2d5000ab23b7f43d291520314a6345819d83d3bdef373333345dbd03b2b5ee7,8f2f5906cfb5b8856ba178991f11a04f78f20d55ceba93485df627555c2a9712,yes,"CRLF line-ending conversion introduced upstream during SB-P-1.11-LOV-SYNC-2 Phase 2/3 artifact preparation (core.autocrlf=true, no .gitattributes override); content values unchanged, only line-ending bytes differ.",no
src/components/ui/accordion.tsx,7684ea9f02a1a1e1a25f29845ebf831d63163a31,16ee9004561ab0de3cc53789d5265cba511c8570,2015,0903efcd7b746eef0a10c954a541b0dfa7aa1172f3c380a1a88f4e19a317fda3,0de02bb71ec1739e64a2fc2af0848458f204490719bad8e51c3fbe2bcb31d3a8,yes,"CRLF line-ending conversion introduced upstream during SB-P-1.11-LOV-SYNC-2 Phase 2/3 artifact preparation (core.autocrlf=true, no .gitattributes override); content values unchanged, only line-ending bytes differ.",no
